,CODMUNRES,Unnamed: 0,ano,homicidios,idade_media,negro_proporcao,codigo_mun_7,uf,pop_mun,pop_uf,tx_hom,tx_hom_pct
2110,314800,49491,2015,19,32.8421052631579,0.3684210526315789,3148004.0,31.0,150893.0,21119536.0,12.591704055191427,27.27272727272727
2704,354070,50085,2015,7,44.14285714285715,0.5714285714285714,3540705.0,35.0,55432.0,45094866.0,12.628084860730263,27.424242424242422
3202,421190,50583,2015,21,30.523809523809533,0.14285714285714285,4211900.0,42.0,164926.0,7001161.0,12.73298327734863,27.575757575757574
93,130270,47474,2015,7,34.42857142857143,0.8571428571428571,1302702.0,13.0,54708.0,4063614.0,12.795203626526284,27.727272727272727
2560,351907,49941,2015,29,33.241379310344826,0.5,3519071.0,35.0,222186.0,45094866.0,13.052127496781976,27.878787878787882
3175,420830,50556,2015,8,37.0,0.0,4208302.0,42.0,61187.0,7001161.0,13.074672724598361,28.030303030303028
2783,355240,50164,2015,36,35.305555555555564,0.3235294117647059,3552403.0,35.0,273007.0,45094866.0,13.186475072067749,28.18181818181818
2540,351570,49921,2015,25,30.96,0.48,3515707.0,35.0,188868.0,45094866.0,13.236757947349473,28.333333333333332
2936,411070,50317,2015,8,38.125,0.0,4110706.0,41.0,60425.0,11320892.0,13.239553165080679,28.484848484848484
2502,351060,49883,2015,53,30.358490566037737,0.5849056603773585,3510609.0,35.0,396587.0,45094866.0,13.364028573806001,28.636363636363637
2260,317070,49641,2015,18,34.27777777777778,0.625,3170701.0,31.0,134364.0,21119536.0,13.396445476466912,28.78787878787879
2520,351340,49901,2015,11,31.45454545454545,0.5454545454545454,3513405.0,35.0,81724.0,45094866.0,13.459938329009839,28.939393939393938
2431,330610,49812,2015,10,29.7,0.4,3306107.0,33.0,74237.0,16718956.0,13.470371916968627,29.09090909090909
2604,352440,49985,2015,31,33.45161290322581,0.16666666666666666,3524402.0,35.0,229851.0,45094866.0,13.486998098768334,29.242424242424242
2599,352390,49980,2015,23,34.43478260869565,0.3809523809523809,3523909.0,35.0,170157.0,45094866.0,13.51692848369447,29.393939393939394
3098,412810,50479,2015,15,38.93333333333333,0.4666666666666667,4128104.0,41.0,109955.0,11320892.0,13.641944431813014,29.545454545454547
2409,330430,49790,2015,8,36.0,0.625,3304300.0,33.0,58272.0,16718956.0,13.72872048325096,29.6969696969697
2878,410550,50259,2015,11,36.0,0.5454545454545454,4105508.0,41.0,79571.0,11320892.0,13.82413190735318,29.848484848484848
1118,260280,48499,2015,8,22.875,0.875,2602803.0,26.0,57696.0,9473266.0,13.865779256794232,30.0
2494,350950,49875,2015,164,32.59756097560975,0.4878048780487805,3509502.0,35.0,1182429.0,45094866.0,13.869754547630345,30.151515151515152
2812,355645,50193,2015,7,39.714285714285715,0.5714285714285714,3556453.0,35.0,50346.0,45094866.0,13.903785802248441,30.303030303030305
19,110028,47400,2015,8,27.875,0.625,1100288.0,11.0,57074.0,1805788.0,14.016890352875214,30.454545454545457
2784,355250,50165,2015,41,35.829268292682926,0.5263157894736842,3552502.0,35.0,290769.0,45094866.0,14.100540291434093,30.606060606060602
