;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
54523;2513406;1996;2;35,0;
54524;2513703;1996;50;29,56;
54525;2513901;1996;5;23,2;
54526;2514008;1996;1;60,0;
54527;2514107;1996;1;22,0;
54528;2514503;1996;2;35,5;
54529;2515104;1996;1;14,0;
54530;2515302;1996;6;31,666666666666668;
54531;2515401;1996;2;17,0;
54532;2515708;1996;1;16,0;
54533;2515807;1996;1;36,0;
54534;2516003;1996;4;23,75;
54535;2516201;1996;18;26,77777777777778;
54536;2516300;1996;1;35,0;
54537;2516508;1996;2;35,0;
54538;2516607;1996;4;26,75;
54539;2516805;1996;1;28,0;
54540;2517001;1996;3;54,333333333333336;
54541;2517100;1996;2;60,0;
54542;2600000;1996;146;29,541095890410958;
54543;2600054;1996;29;30,0;
54544;2600104;1996;3;26,666666666666668;
54545;2600302;1996;5;47,0;
54546;2600401;1996;4;47,0;
54547;2600500;1996;11;32,90909090909091;
54548;2600609;1996;5;46,6;
54549;2600708;1996;12;35,25;
54550;2600807;1996;5;43,8;
54551;2600906;1996;2;21,5;
54552;2601003;1996;1;17,0;
54553;2601102;1996;5;31,4;
54554;2601201;1996;34;29,11764705882353;
54555;2601300;1996;5;37,4;
54556;2601409;1996;10;29,2;
54557;2601508;1996;2;46,0;
54558;2601607;1996;10;28,3;
54559;2601706;1996;21;33,095238095238095;
54560;2601904;1996;18;35,166666666666664;
54561;2602001;1996;1;17,0;
54562;2602100;1996;7;42,857142857142854;
54563;2602209;1996;6;39,0;
54564;2602308;1996;8;35,0;
54565;2602407;1996;3;25,666666666666668;
54566;2602506;1996;1;18,0;
54567;2602605;1996;10;30,3;
54568;2602704;1996;2;22,5;
54569;2602803;1996;12;42,416666666666664;
54570;2602902;1996;58;33,275862068965516;
54571;2603009;1996;23;30,26086956521739;
54572;2603108;1996;3;25,666666666666668;
54573;2603207;1996;6;41,166666666666664;
54574;2603306;1996;1;64,0;
54575;2603454;1996;51;33,254901960784316;
54576;2603504;1996;5;26,4;
54577;2603702;1996;10;46,0;
54578;2603801;1996;7;40,857142857142854;
54579;2603900;1996;2;57,5;
54580;2603926;1996;3;41,666666666666664;
54581;2604007;1996;22;35,90909090909091;
54582;2604106;1996;129;31,8062015503876;
54583;2604205;1996;8;38,375;
54584;2604304;1996;2;19,5;
54585;2604403;1996;7;28,714285714285715;
54586;2604502;1996;1;25,0;
54587;2604601;1996;5;39,2;
54588;2604700;1996;5;36,4;
54589;2604809;1996;10;40,0;
54590;2604908;1996;5;37,8;
54591;2605004;1996;3;31,333333333333332;
54592;2605103;1996;9;31,0;
54593;2605202;1996;22;32,5;
54594;2605301;1996;6;37,333333333333336;
54595;2605400;1996;3;40,666666666666664;
54596;2605608;1996;6;35,833333333333336;
54597;2605707;1996;24;31,708333333333332;
54598;2605806;1996;4;18,25;
54599;2605905;1996;9;30,88888888888889;
54600;2606002;1996;57;30,157894736842106;
54601;2606101;1996;3;44,0;
54602;2606200;1996;24;31,041666666666668;
54603;2606309;1996;1;27,0;
54604;2606408;1996;20;42,4;
54605;2606606;1996;6;32,666666666666664;
54606;2606705;1996;2;45,5;
54607;2606804;1996;25;33,92;
54608;2606903;1996;1;36,0;
54609;2607000;1996;5;30,8;
54610;2607109;1996;1;36,0;
54611;2607208;1996;29;32,206896551724135;
54612;2607307;1996;2;59,5;
54613;2607406;1996;1;52,0;
54614;2607604;1996;9;36,55555555555556;
54615;2607653;1996;8;34,5;
54616;2607703;1996;6;40,666666666666664;
54617;2607752;1996;4;37,25;
54618;2607802;1996;2;29,0;
54619;2607901;1996;155;28,81935483870968;
54620;2608107;1996;8;29,25;
54621;2608206;1996;1;19,0;
54622;2608255;1996;1;53,0;
54623;2608305;1996;1;56,0;
54624;2608404;1996;2;25,5;
54625;2608453;1996;4;52,5;
54626;2608503;1996;3;11,0;
54627;2608602;1996;3;49,666666666666664;
54628;2608701;1996;6;47,0;
54629;2608800;1996;12;28,5;
54630;2608909;1996;43;32,02325581395349;0,0
54631;2609006;1996;9;42,44444444444444;
54632;2609105;1996;4;46,75;
54633;2609204;1996;5;43,6;
54634;2609303;1996;5;35,6;
54635;2609402;1996;24;37,458333333333336;
54636;2609501;1996;6;32,833333333333336;
54637;2609600;1996;194;29,47422680412371;
54638;2609709;1996;4;40,25;
54639;2609808;1996;8;34,625;
54640;2609907;1996;9;38,55555555555556;
54641;2610004;1996;15;32,46666666666667;
54642;2610103;1996;2;27,0;
54643;2610202;1996;5;24,4;
54644;2610301;1996;3;35,0;
54645;2610400;1996;6;28,666666666666668;
54646;2610509;1996;5;48,8;
54647;2610608;1996;16;27,5;
54648;2610707;1996;75;29,826666666666668;
54649;2610806;1996;2;25,5;
54650;2610905;1996;18;35,44444444444444;
54651;2611002;1996;18;37,166666666666664;
54652;2611101;1996;134;32,0;
54653;2611200;1996;4;48,25;
54654;2611309;1996;8;30,0;
54655;2611408;1996;6;25,333333333333332;
54656;2611507;1996;3;29,0;
54657;2611606;1996;714;28,137254901960784;
54658;2611705;1996;3;50,0;
54659;2611804;1996;25;37,48;
54660;2611903;1996;10;32,7;
54661;2612000;1996;2;31,5;
54662;2612208;1996;11;23,727272727272727;
54663;2612307;1996;4;35,5;
54664;2612406;1996;1;27,0;
54665;2612455;1996;2;25,5;
54666;2612471;1996;9;37,111111111111114;
54667;2612505;1996;15;30,2;
54668;2612604;1996;22;31,045454545454547;
54669;2612703;1996;4;21,75;
54670;2612802;1996;2;21,0;
54671;2613008;1996;15;38,06666666666667;
54672;2613107;1996;6;41,0;
54673;2613206;1996;2;39,0;
54674;2613305;1996;7;39,714285714285715;
54675;2613404;1996;2;40,5;
54676;2613503;1996;12;47,333333333333336;
54677;2613602;1996;5;31,6;
54678;2613701;1996;34;31,558823529411764;
54679;2613800;1996;1;40,0;
54680;2613909;1996;46;32,630434782608695;
54681;2614006;1996;2;33,0;
54682;2614105;1996;11;36,81818181818182;
54683;2614204;1996;10;32,4;
54684;2614303;1996;2;32,5;
54685;2614402;1996;3;55,333333333333336;
54686;2614501;1996;20;35,3;
54687;2614600;1996;6;38,833333333333336;
54688;2614709;1996;2;35,5;
54689;2614808;1996;2;27,0;
54690;2615003;1996;3;33,0;
54691;2615102;1996;2;40,0;
54692;2615300;1996;22;31,136363636363637;
54693;2615409;1996;12;43,166666666666664;
54694;2615508;1996;1;42,0;
54695;2615607;1996;5;38,0;
54696;2615706;1996;7;35,142857142857146;
54697;2615805;1996;7;31,428571428571427;
54698;2615904;1996;1;74,0;
54699;2616001;1996;5;40,6;
54700;2616183;1996;2;49,0;
54701;2616209;1996;4;55,0;
54702;2616308;1996;4;30,5;
54703;2616407;1996;45;34,333333333333336;
54704;2616506;1996;2;24,0;
54705;2700000;1996;3;25,0;
54706;2700102;1996;2;27,5;
54707;2700201;1996;3;29,666666666666668;
54708;2700300;1996;55;30,672727272727272;
54709;2700409;1996;12;33,083333333333336;
54710;2700508;1996;6;44,5;
54711;2700607;1996;1;35,0;
54712;2700706;1996;3;25,333333333333332;
54713;2700805;1996;1;44,0;
54714;2700904;1996;1;44,0;
54715;2701001;1996;2;22,5;
54716;2701100;1996;1;27,0;
54717;2701209;1996;1;42,0;
54718;2701308;1996;4;30,5;
54719;2701407;1996;10;35,4;
54720;2701506;1996;2;35,0;
54721;2701704;1996;3;32,0;
54722;2701803;1996;1;50,0;
54723;2702009;1996;2;31,5;
54724;2702108;1996;4;42,5;
54725;2702306;1996;14;34,642857142857146;
54726;2702355;1996;5;35,6;
54727;2702405;1996;4;30,5;
54728;2702603;1996;4;46,75;
54729;2702702;1996;1;39,0;
54730;2702801;1996;2;34,5;
