;UF;ano;homicidios;idade_media;negro_proporcao
360;23;2014;4510;28,547450110864744;0,5401330376940133
361;24;2014;1545;28,309385113268608;0,8116504854368932
362;25;2014;1515;29,5993399339934;0,8699669966996699
363;26;2014;3178;30,216803020767777;0,868785399622404
364;27;2014;2042;29,36141038197845;0,9343780607247796
365;28;2014;1090;30,028440366972475;0,9146788990825688
366;29;2014;5682;29,210313269975362;0,901619148187258
367;31;2014;4395;30,59067121729238;0,7292377701934016
368;32;2014;1555;28,82379421221865;0,8186495176848875
369;33;2014;4948;30,47130153597413;0,7006871463217461
370;35;2014;5272;33,05804248861912;0,46415022761760244
371;41;2014;2828;31,615629420084865;0,20297029702970298
372;42;2014;826;33,937046004842614;0,18280871670702178
373;43;2014;2695;32,4126159554731;0,22931354359925787
374;50;2014;676;32,43639053254438;0,6183431952662722
375;51;2014;1257;32,88305489260143;0,7589498806682577
376;52;2014;2763;30,16576185305827;0,7625769091567137
377;53;2014;796;29,285175879396984;0,8479899497487438
378;11;2015;575;33,676521739130436;0,7583774250440917
379;12;2015;201;32,38805970149254;0,8585858585858586
380;13;2015;1416;29,721045197740114;0,9304471256210078
381;14;2015;79;33,962025316455694;0,8333333333333334
382;15;2015;3321;30,71875940981632;0,9370223173341485
383;16;2015;272;29,165441176470587;0,9496124031007752
384;17;2015;474;31,559071729957807;0,7934065934065934
385;21;2015;2281;31,177115300306884;0,8882431828341529
386;22;2015;627;31,575757575757574;0,899488926746167
387;23;2015;3996;29,2997997997998;0,9085619285120532
388;24;2015;1491;28,97719651240778;0,8917748917748918
389;25;2015;1480;30,44864864864865;0,9353891336270191
390;26;2015;3737;29,82954241370083;0,8922659430122116
391;27;2015;1714;28,908401400233373;0,9690107270560191
392;28;2015;1295;30,215444015444014;0,941130906274206
393;29;2015;5520;29,553442028985508;0,9351783060921248
394;31;2015;4211;31,122298741391592;0,7492155442915761
395;32;2015;1372;29,42128279883382;0,8650116369278511
396;33;2015;4403;30,55439473086532;0,7095808383233533
397;35;2015;4622;33,776936391172654;0,47184337879454463
398;41;2015;2733;32,096597145993414;0,22801182557280117
399;42;2015;896;33,59375;0,21832579185520362
400;43;2015;2892;32,454356846473026;0,22416812609457093
401;50;2015;625;34,5296;0,6403225806451613
402;51;2015;1132;33,053886925795055;0,7935368043087971
