,uf,nome_mun,quant,codigo_ibge,valor
4794,SP,ALAMBARI,1.0,3500758,6668679.0
4795,SP,ALFREDO MARCONDES,1.0,3500808,4621596.0
4796,SP,ALTAIR,1.0,3500907,4256513.0
4797,SP,ALTINOPOLIS,1.0,3501004,18538452.0
4798,SP,ALTO ALEGRE,1.0,3501103,4659094.0
4799,SP,ALUMINIO,0.0,3501152,20218081.0
4800,SP,ALVARES FLORENCE,1.0,3501202,4125548.0
4801,SP,ALVARES MACHADO,2.0,3501301,30673435.0
4802,SP,ALVARO DE CARVALHO,1.0,3501400,4052456.0
4803,SP,ALVINLANDIA,1.0,3501509,3644879.0
4804,SP,AMERICANA,14.0,3501608,225111037.0
4805,SP,AMERICO BRASILIENSE,2.0,3501707,36661908.0
4806,SP,AMERICO DE CAMPOS,1.0,3501806,7465772.0
4807,SP,AMPARO,4.0,3501905,57952735.0
4808,SP,ANALANDIA,1.0,3502002,4801316.0
4809,SP,ANDRADINA,4.0,3502101,60695958.0
4810,SP,ANGATUBA,1.0,3502200,27389109.0
4811,SP,ANHEMBI,0.0,3502309,9922949.0
4812,SP,ANHUMAS,1.0,3502408,5443260.0
4813,SP,APARECIDA,3.0,3502507,47315095.0
4814,SP,APARECIDA D'OESTE,0.0,3502606,5418545.0
4815,SP,APIAI,1.0,3502705,36062969.0
4816,SP,ARACARIGUAMA,1.0,3502754,27922061.0
4817,SP,ARACATUBA,13.0,3502804,219104964.0
4818,SP,ARACOIABA DA SERRA,1.0,3502903,45038972.0
4819,SP,ARAMINA,1.0,3503000,6147558.0
4820,SP,ARANDU,0.0,3503109,7581035.0
4821,SP,ARAPEI,1.0,3503158,3481134.0
4822,SP,ARARAQUARA,13.0,3503208,236289770.0
4823,SP,ARARAS,8.0,3503307,133876930.0
4824,SP,ARCO-IRIS,1.0,3503356,2395599.0
4825,SP,AREALVA,0.0,3503406,9551969.0
4826,SP,AREIAS,1.0,3503505,5636040.0
4827,SP,AREIOPOLIS,1.0,3503604,11176021.0
4828,SP,ARIRANHA,1.0,3503703,8240858.0
4829,SP,ARTUR NOGUEIRA,2.0,3503802,58028675.0
4830,SP,ARUJA,2.0,3503901,121181005.0
4831,SP,ASPASIA,1.0,3503950,2529876.0
4832,SP,ASSIS,6.0,3504008,112997846.0
4833,SP,ATIBAIA,9.0,3504107,195974351.0
4834,SP,AURIFLAMA,1.0,3504206,16627914.0
4835,SP,AVAI,1.0,3504305,5861789.0
4836,SP,AVANHANDAVA,1.0,3504404,13713241.0
4837,SP,AVARE,7.0,3504503,105768452.0
4838,SP,BADY BASSITT,1.0,3504602,24340132.0
4839,SP,BALBINOS,1.0,3504701,1476377.0
4840,SP,BALSAMO,1.0,3504800,11562467.0
4841,SP,BANANAL,0.0,3504909,14479453.0
4842,SP,BARAO DE ANTONINA,1.0,3505005,4603452.0
4843,SP,BARBOSA,1.0,3505104,9518456.0
