HS - Combined  Product Code,HS - Combined  Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
382510,(2002-) Municipal waste,2429,Manufacture of other chemical products n.e.c.
382520,(2002-) Sewage sludge,2429,Manufacture of other chemical products n.e.c.
382530,(2002-) Clinical waste,2429,Manufacture of other chemical products n.e.c.
382541,(2002-) Halogenated,2429,Manufacture of other chemical products n.e.c.
382549,(2002-) Other,2429,Manufacture of other chemical products n.e.c.
382550,"(2002-) Wastes of metal pickling liquors, hydraulic fluids, brake  fluids and antifreeze fluids",2429,Manufacture of other chemical products n.e.c.
382561,(2002-) Mainly containing organic constituents,2429,Manufacture of other chemical products n.e.c.
382569,(2002-) Other,2429,Manufacture of other chemical products n.e.c.
382590,(2002-) Other,2429,Manufacture of other chemical products n.e.c.
390110,Polyethylene having a specific gravity of less than 0.94,2413,Manufacture of plastics in primary forms and of synthetic rubber
390120,Polyethylene having a specific gravity of 0.94 or more,2413,Manufacture of plastics in primary forms and of synthetic rubber
390130,Ethylenevinyl acetate copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390190,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390210,Polypropylene,2413,Manufacture of plastics in primary forms and of synthetic rubber
390220,Polyisobutylene,2413,Manufacture of plastics in primary forms and of synthetic rubber
390230,Propylene copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390290,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390311,Expansible,2413,Manufacture of plastics in primary forms and of synthetic rubber
390319,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390320,Styreneacrylonitrile (SAN) copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390330,Acrylonitrilebutadienestyrene (ABS) copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390390,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390410,"Poly(vinyl chloride), not mixed with any other substances",2413,Manufacture of plastics in primary forms and of synthetic rubber
390421,Nonplasticised,2413,Manufacture of plastics in primary forms and of synthetic rubber
390422,Plasticised,2413,Manufacture of plastics in primary forms and of synthetic rubber
390430,Vinyl chloridevinyl acetate copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390440,Other vinyl chloride copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390450,Vinylidene chloride polymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390461,Polytetrafluoroethylene,2413,Manufacture of plastics in primary forms and of synthetic rubber
390469,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390490,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390511,"(-1995) Polymers of vinyl acetate, in aqueous disp",2413,Manufacture of plastics in primary forms and of synthetic rubber
390512,(1996-) In aqueous dispersion,2413,Manufacture of plastics in primary forms and of synthetic rubber
390519,Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390520,"(-1995) Polyvinyl alcohols, in primary forms",2413,Manufacture of plastics in primary forms and of synthetic rubber
390521,(1996-) In aqueous dispersion,2413,Manufacture of plastics in primary forms and of synthetic rubber
390529,(1996-) Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390530,"(1996-) Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",2413,Manufacture of plastics in primary forms and of synthetic rubber
390590,(-1995) Polymers of vinyl esters or vinyl polymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390591,(1996-) Copolymers,2413,Manufacture of plastics in primary forms and of synthetic rubber
390599,(1996-) Other,2413,Manufacture of plastics in primary forms and of synthetic rubber
390610,Poly(methyl methacrylate),2413,Manufacture of plastics in primary forms and of synthetic rubber
