uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AP,2021,877613.0,Lesão corporal seguida de morte,0.0,22.0,Norte,0.0,2.506799694170437
AP,2022,852687.6666666666,Lesão corporal seguida de morte,0.0,10.0,Norte,0.0,1.172762359644778
AP,2023,827762.3333333334,Lesão corporal seguida de morte,0.0,16.0,Norte,0.0,1.9329219699535332
AP,2024,802837.0,Lesão corporal seguida de morte,0.0,3.0,Norte,0.0,0.37367485554352875
AP,2017,797722.0,Roubo a instituição financeira,8.0,0.0,Norte,1.002855631410441,0.0
AP,2018,829494.0,Roubo a instituição financeira,18.0,0.0,Norte,2.1699976130026255,0.0
AP,2019,845731.0,Roubo a instituição financeira,6.0,0.0,Norte,0.709445438324952,0.0
AP,2020,861773.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AP,2021,877613.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AP,2022,852687.6666666666,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AP,2023,827762.3333333334,Roubo a instituição financeira,1.0,0.0,Norte,0.12080762312209582,0.0
AP,2024,802837.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AP,2017,797722.0,Roubo de carga,1.0,0.0,Norte,0.12535695392630514,0.0
AP,2018,829494.0,Roubo de carga,3.0,0.0,Norte,0.36166626883377095,0.0
AP,2019,845731.0,Roubo de carga,10.0,0.0,Norte,1.18240906387492,0.0
AP,2020,861773.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AP,2021,877613.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AP,2022,852687.6666666666,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AP,2023,827762.3333333334,Roubo de carga,1.0,0.0,Norte,0.12080762312209582,0.0
AP,2024,802837.0,Roubo de carga,1.0,0.0,Norte,0.12455828518117626,0.0
AP,2017,797722.0,Roubo de veículo,267.0,0.0,Norte,33.470306698323476,0.0
AP,2018,829494.0,Roubo de veículo,357.0,0.0,Norte,43.03828599121874,0.0
AP,2019,845731.0,Roubo de veículo,701.0,0.0,Norte,82.8868753776319,0.0
AP,2020,861773.0,Roubo de veículo,647.0,0.0,Norte,75.077775701954,0.0
AP,2021,877613.0,Roubo de veículo,493.0,0.0,Norte,56.17510223754662,0.0
AP,2022,852687.6666666666,Roubo de veículo,450.0,0.0,Norte,52.77430618401502,0.0
AP,2023,827762.3333333334,Roubo de veículo,270.0,0.0,Norte,32.61805824296587,0.0
AP,2024,802837.0,Roubo de veículo,166.0,0.0,Norte,20.67667534007526,0.0
AP,2017,797722.0,Roubo seguido de morte (latrocínio),0.0,22.0,Norte,0.0,2.757852986378713
AP,2018,829494.0,Roubo seguido de morte (latrocínio),0.0,19.0,Norte,0.0,2.2905530359472164
AP,2019,845731.0,Roubo seguido de morte (latrocínio),0.0,16.0,Norte,0.0,1.891854502199872
AP,2020,861773.0,Roubo seguido de morte (latrocínio),0.0,13.0,Norte,0.0,1.5085179043669272
AP,2021,877613.0,Roubo seguido de morte (latrocínio),0.0,20.0,Norte,0.0,2.2789088128822157
AP,2022,852687.6666666666,Roubo seguido de morte (latrocínio),0.0,22.0,Norte,0.0,2.580077191218512
AP,2023,827762.3333333334,Roubo seguido de morte (latrocínio),0.0,13.0,Norte,0.0,1.5704991005872457
AP,2024,802837.0,Roubo seguido de morte (latrocínio),0.0,4.0,Norte,0.0,0.49823314072470504
AP,2017,797722.0,Tentativa de homicídio,0.0,293.0,Norte,0.0,36.72958750040741
AP,2018,829494.0,Tentativa de homicídio,0.0,110.0,Norte,0.0,13.261096523904936
