,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
268,3202.0,208768.0,2412.0,100000,199999,2006,MS,1472286.0,48806.0
269,3202.0,256661.0,1948.0,200000,10000000000000000,2006,MS,1472286.0,48806.0
270,3203.0,33679.0,11486.0,1,24999,2006,MS,1665295.0,52600.0
271,3203.0,302695.0,18121.0,25000,49999,2006,MS,1665295.0,52600.0
272,3203.0,438754.0,12449.0,50000,74999,2006,MS,1665295.0,52600.0
273,3203.0,323466.0,5282.0,75000,99999,2006,MS,1665295.0,52600.0
274,3203.0,239045.0,2764.0,100000,199999,2006,MS,1665295.0,52600.0
275,3203.0,327656.0,2498.0,200000,10000000000000000,2006,MS,1665295.0,52600.0
276,3300.0,-472764.0,128103.0,1,24999,2006,LA,18944203.0,543595.0
277,3300.0,2553883.0,151884.0,25000,49999,2006,LA,18944203.0,543595.0
278,3300.0,4467952.0,124820.0,50000,74999,2006,LA,18944203.0,543595.0
279,3300.0,3789013.0,61571.0,75000,99999,2006,LA,18944203.0,543595.0
280,3300.0,3191709.0,36764.0,100000,199999,2006,LA,18944203.0,543595.0
281,3300.0,5414410.0,40453.0,200000,10000000000000000,2006,LA,18944203.0,543595.0
282,3400.0,138096.0,39271.0,1,24999,2006,LA,7070521.0,186798.0
283,3400.0,834210.0,49913.0,25000,49999,2006,LA,7070521.0,186798.0
284,3400.0,1572203.0,43380.0,50000,74999,2006,LA,7070521.0,186798.0
285,3400.0,1659267.0,26959.0,75000,99999,2006,LA,7070521.0,186798.0
286,3400.0,1314366.0,15252.0,100000,199999,2006,LA,7070521.0,186798.0
287,3400.0,1552379.0,12023.0,200000,10000000000000000,2006,LA,7070521.0,186798.0
288,3500.0,238319.0,89869.0,1,24999,2006,LA,18019121.0,469375.0
289,3500.0,2311355.0,138410.0,25000,49999,2006,LA,18019121.0,469375.0
290,3500.0,3938652.0,109897.0,50000,74999,2006,LA,18019121.0,469375.0
291,3500.0,3582259.0,58139.0,75000,99999,2006,LA,18019121.0,469375.0
292,3500.0,3171120.0,36495.0,100000,199999,2006,LA,18019121.0,469375.0
293,3500.0,4777416.0,36565.0,200000,10000000000000000,2006,LA,18019121.0,469375.0
294,3600.0,102429.0,25523.0,1,24999,2006,LA,4448689.0,125338.0
295,3600.0,646507.0,38169.0,25000,49999,2006,LA,4448689.0,125338.0
296,3600.0,1092152.0,30431.0,50000,74999,2006,LA,4448689.0,125338.0
297,3600.0,968331.0,15751.0,75000,99999,2006,LA,4448689.0,125338.0
298,3600.0,743454.0,8604.0,100000,199999,2006,LA,4448689.0,125338.0
299,3600.0,895816.0,6860.0,200000,10000000000000000,2006,LA,4448689.0,125338.0
300,3700.0,92821.0,38077.0,1,24999,2006,LA,6942046.0,186283.0
301,3700.0,867959.0,51441.0,25000,49999,2006,LA,6942046.0,186283.0
302,3700.0,1619889.0,44749.0,50000,74999,2006,LA,6942046.0,186283.0
303,3700.0,1585996.0,25747.0,75000,99999,2006,LA,6942046.0,186283.0
304,3700.0,1258987.0,14589.0,100000,199999,2006,LA,6942046.0,186283.0
305,3700.0,1516394.0,11680.0,200000,10000000000000000,2006,LA,6942046.0,186283.0
306,3800.0,292088.0,96666.0,1,24999,2006,LA,16464132.0,456026.0
307,3800.0,2225338.0,133024.0,25000,49999,2006,LA,16464132.0,456026.0
308,3800.0,3816613.0,106153.0,50000,74999,2006,LA,16464132.0,456026.0
309,3800.0,3666431.0,59604.0,75000,99999,2006,LA,16464132.0,456026.0
310,3800.0,2798213.0,32475.0,100000,199999,2006,LA,16464132.0,456026.0
311,3800.0,3665449.0,28104.0,200000,10000000000000000,2006,LA,16464132.0,456026.0
312,3901.0,84281.0,27154.0,1,24999,2006,LA,4287334.0,126148.0
313,3901.0,673254.0,40453.0,25000,49999,2006,LA,4287334.0,126148.0
314,3901.0,1030850.0,28906.0,50000,74999,2006,LA,4287334.0,126148.0
315,3901.0,908197.0,14782.0,75000,99999,2006,LA,4287334.0,126148.0
316,3901.0,699211.0,8096.0,100000,199999,2006,LA,4287334.0,126148.0
317,3901.0,891541.0,6757.0,200000,10000000000000000,2006,LA,4287334.0,126148.0
318,3902.0,3617.0,2968.0,1,24999,2006,LA,362819.0,12407.0
319,3902.0,71806.0,4353.0,25000,49999,2006,LA,362819.0,12407.0
320,3902.0,97517.0,2744.0,50000,74999,2006,LA,362819.0,12407.0
321,3902.0,76323.0,1248.0,75000,99999,2006,LA,362819.0,12407.0
322,3902.0,56902.0,649.0,100000,199999,2006,LA,362819.0,12407.0
323,3902.0,56654.0,445.0,200000,10000000000000000,2006,LA,362819.0,12407.0
