PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,latitude,longitude,pobres,idhm,rendapercapita,populacao,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,candidaturas_mun
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7749,11,,1,-5.8228202,-44.215302,52.130001,.56099999,206.58,8142,MA,JATOBÁ,PREFEITO,COLIGACAO,PMDB,JATOBÁ UNIDO E FORTE,PMDB / PP / PMN / PR,,2
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2016,7749,11,,1,-5.8228202,-44.215302,52.130001,.56099999,206.58,8142,MA,JATOBÁ,PREFEITO,COLIGACAO,PCdoB,MUDAR PARA CRESCER,PCdoB / PDT / PHS / PSB,,2
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7757,11,,1,-4.1500201,-42.947701,63.580002,.53299999,163.87,10102,MA,DUQUE BACELAR,PREFEITO,COLIGACAO,PCdoB,PRA CONTINUAR DESENVOLVENDO,PCdoB / PDT / PRB / PT,,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,7757,11,,1,-4.1500201,-42.947701,63.580002,.53299999,163.87,10102,MA,DUQUE BACELAR,PREFEITO,COLIGACAO,PMDB,UNIDOS SEREMOS MAIS,PMDB / PP / PPS / PROS,,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,7757,11,31,0,-4.1500201,-42.947701,63.580002,.53299999,163.87,10102,MA,DUQUE BACELAR,PREFEITO,PARTIDO ISOLADO,PHS,#NULO#,PHS,2103901,3
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7765,11,,1,-5.36237,-45.635601,70.330002,.49000001,127.24,11640,MA,JENIPAPO DOS VIEIRAS,PREFEITO,COLIGACAO,PDT,JUNTOS VENCEREMOS,PDT / PT / PTB / PR / PTC / PSD,,3
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2016,7765,11,,1,-5.36237,-45.635601,70.330002,.49000001,127.24,11640,MA,JENIPAPO DOS VIEIRAS,PREFEITO,COLIGACAO,PMDB,UM NOVO TEMPO PARA JENIPAPO,PMDB / PSC / DEM / PRTB / PV / PSDB / PCdoB / PTdoB / PROS,,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,7765,11,,1,-5.36237,-45.635601,70.330002,.49000001,127.24,11640,MA,JENIPAPO DOS VIEIRAS,PREFEITO,COLIGACAO,PPS,JUNTOS VAMOS CONSTRUIR UM NOVO JENIPAPO,PPS / PMB,,3
0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2016,7773,11,,1,-4.8793802,-44.6926,46.889999,.58600003,262.41,17919,MA,ESPERANTINÓPOLIS,PREFEITO,COLIGACAO,PP,A FORÇA DO POVO,PP / PSD / PSB / PROS / PR / PSL / PTN / PMN / DEM / PSDB / PMDB,,2
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2016,7773,11,,1,-4.8793802,-44.6926,46.889999,.58600003,262.41,17919,MA,ESPERANTINÓPOLIS,PREFEITO,COLIGACAO,PDT,VITÓRIA DO POVO,PDT / PT / PPS / PHS / PTC / PCdoB / SD / PEN / PRTB,,2
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2016,7781,11,,1,-1.8388799,-46.09,47.049999,.55199999,244.53999,3940,MA,JUNCO DO MARANHÃO,PREFEITO,COLIGACAO,PCdoB,NÓS PODEMOS,PCdoB / PV / PDT / PTB / PT,,2
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7781,11,,1,-1.8388799,-46.09,47.049999,.55199999,244.53999,3940,MA,JUNCO DO MARANHÃO,PREFEITO,COLIGACAO,PR,JUNCO NÃO PODE PARAR,PR / PSD / PMDB / PMN / PRTB,,2
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2016,7790,11,,1,-6.9598298,-46.1749,38.759998,.616,271.60001,11165,MA,FORTALEZA DOS NOGUEIRAS,PREFEITO,COLIGACAO,PDT,AVANTE FORTALEZA,PDT / PTB / PV / PR / PCdoB / PSDC / PSDB / PSL / PRB,,2
